entity,vertex_name,vertex_id,vertex_central,edge_type,directed,entity2,vertex_name2,vertex_id2
mail_zip,mergedschema,vtx_type-fifm,False,,,,,
mail_plus_4,mergedschema,vtx_type-fifm,False,,,,,
mail_unit_prefix,mergedschema,vtx_type-fifm,False,,,,,
mail_unit_number,mergedschema,vtx_type-fifm,False,,,,,
mail_care_of_name,mergedschema,vtx_type-fifm,False,,,,,
owner_occupied,mergedschema,vtx_type-fifm,False,,,,,
owner_src_code,mergedschema,vtx_type-fifm,False,,,,,
use_code_muni_desc,mergedschema,vtx_type-fifm,False,,,,,
use_code_muni,mergedschema,vtx_type-fifm,False,,,,,
use_code_std_lps,mergedschema,vtx_type-fifm,False,,,,,
use_code_std_desc_lps,mergedschema,vtx_type-fifm,False,,,,,
use_code_std_ctgr_desc_lps,mergedschema,vtx_type-fifm,False,,,,,
use_code_std_ctgr_lps,mergedschema,vtx_type-fifm,False,,,,,
assessee_owner_name_1,mergedschema,vtx_type-fifm,False,,,,,
assessee_owner_name_2,mergedschema,vtx_type-fifm,False,,,,,
assessee_owner_vesting_code,mergedschema,vtx_type-fifm,False,,,,,
assessee_owner_vesting_code_desc,mergedschema,vtx_type-fifm,False,,,,,
tax_acct_nbr,mergedschema,vtx_type-fifm,False,,,,,
asmt_mail_care_of_name,mergedschema,vtx_type-fifm,False,,,,,
asmt_mail_house_number,mergedschema,vtx_type-fifm,False,,,,,
asmt_mail_direction,mergedschema,vtx_type-fifm,False,,,,,
asmt_mail_street_name,mergedschema,vtx_type-fifm,False,,,,,
asmt_mail_mode,mergedschema,vtx_type-fifm,False,,,,,
asmt_mail_quadrant,mergedschema,vtx_type-fifm,False,,,,,
assessee_mail_addr,mergedschema,vtx_type-fifm,False,,,,,
assessee_mail_city,mergedschema,vtx_type-fifm,False,,,,,
assessee_mail_state,mergedschema,vtx_type-fifm,False,,,,,
assessee_mail_zip,mergedschema,vtx_type-fifm,False,,,,,
assessee_mail_zip4,mergedschema,vtx_type-fifm,False,,,,,
assessee_mail_unit_prefix,mergedschema,vtx_type-fifm,False,,,,,
assessee_mail_unit_number,mergedschema,vtx_type-fifm,False,,,,,
asmt_mail_carrier_code,mergedschema,vtx_type-fifm,False,,,,,
asmt_owner_occupied,mergedschema,vtx_type-fifm,False,,,,,
val_assd_land,mergedschema,vtx_type-fifm,False,,,,,
val_assd_imprv,mergedschema,vtx_type-fifm,False,,,,,
val_assd,mergedschema,vtx_type-fifm,False,,,,,
asmt_year,mergedschema,vtx_type-fifm,False,,,,,
ca_home_owners_exempt,mergedschema,vtx_type-fifm,False,,,,,
tax_exempt_codes,mergedschema,vtx_type-fifm,False,,,,,
tax_exempt_codes_desc,mergedschema,vtx_type-fifm,False,,,,,
tax_rate_code_area,mergedschema,vtx_type-fifm,False,,,,,
tax_src_code,mergedschema,vtx_type-fifm,False,,,,,
tax_amount,mergedschema,vtx_type-fifm,False,,,,,
tax_year,mergedschema,vtx_type-fifm,False,,,,,
tax_year_delinq,mergedschema,vtx_type-fifm,False,,,,,
asmt_lndr_name,mergedschema,vtx_type-fifm,False,,,,,
asmt_rcdrs_book,mergedschema,vtx_type-fifm,False,,,,,
asmt_rcdrs_doc_number,mergedschema,vtx_type-fifm,False,,,,,
asmt_rcdrs_page,mergedschema,vtx_type-fifm,False,,,,,
asmt_rcdrs_date_transfer,mergedschema,vtx_type-fifm,False,,,,,
asmt_doc_type,mergedschema,vtx_type-fifm,False,,,,,
